Id_Produto,Nome do Produto,Tipo do Produto,Descrição,Preço de Custo,Porcentagem de Lucro,Preço de Venda,Quantidade em Estoque,Imagem do Produto,ID_Barcode,Sequência_Brinco,Sequência_Anel,Sequência_Pulseira,Sequência_Cordao ,Sequência_Conjunto,Sequência_Tornozeleira,Disponibilidade,ID_VENDEDORA
202201cf,Colar Triplo,CORDÕES,JL,"76,4",3,"R$ 229,20",1,Produtos_Images/202201cf.Imagem do Produto.213054.jpg,,,,,,,,,
d24fa1,CJ001,CONJUNTOS,Conj infantil JN,39,3,"R$ 117,00",0,Produtos_Images/0ed24fa1.Imagem do Produto.232243.jpg,,,,,,1,,,
2ad4a4,CJ002,CONJUNTOS,Conj infantil JN,29,"3,1","R$ 89,90",1,Produtos_Images/982ad4a4.Imagem do Produto.232511.jpg,,,,,,2,,,
db1e85,CJ003,CONJUNTOS,Conj infantil WDF,24,3,"R$ 72,00",0,Produtos_Images/afdb1e85.Imagem do Produto.232855.jpg,,,,,,3,,,
fc38d0,CJ004,CONJUNTOS,Conj infantil WDF,24,3,"R$ 72,00",1,Produtos_Images/20fc38d0.Imagem do Produto.233409.jpg,,,,,,4,,,
b13858,CJ005,CONJUNTOS,Conj infantil JN,"39,5",3,"R$ 118,50",0,Produtos_Images/edb13858.Imagem do Produto.233714.jpg,,,,,,5,,,
4aa3f0,CJ006,CONJUNTOS,Conj infantil,41,3,"R$ 123,00",1,Produtos_Images/3b4aa3f0.Imagem do Produto.234218.jpg,,,,,,6,,,
9b12b5,CJ007,CONJUNTOS,Conj coração DF,"44,5",3,"R$ 133,50",1,Produtos_Images/ea9b12b5.Imagem do Produto.234557.jpg,,,,,,7,,,
b1d37b00,CJ008,CONJUNTOS,Conj pedra natural,83,3,"R$ 249,00",0,Produtos_Images/b1d37b00.Imagem do Produto.235357.jpg,,,,,,8,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
e0374d72,BR003,BRINCOS,Pérola shel,"5,5",4,"R$ 22,00",1,Produtos_Images/e0374d72.Imagem do Produto.213000.jpg,,3,,,,,,,
b2451f50,BR004,BRINCOS,Malha e zircônia,29,3,"R$ 87,00",1,Produtos_Images/b2451f50.Imagem do Produto.214414.jpg,,4,,,,,,,
f18bdfdf,BR005,BRINCOS,JN,16,3,"R$ 48,00",1,Produtos_Images/f18bdfdf.Imagem do Produto.215051.jpg,,5,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
b2ef9a5d,BR009,BRINCOS,EV,"16,5",4,"R$ 66,00",0,Produtos_Images/b2ef9a5d.Imagem do Produto.220706.jpg,,9,,,,,,,
66f5f09a,BR010,BRINCOS,EV,"16,25",4,"R$ 65,00",0,Produtos_Images/66f5f09a.Imagem do Produto.220847.jpg,,10,,,,,,,
49498587,BR011,BRINCOS,Ev,"16,25",4,"R$ 65,00",2,Produtos_Images/49498587.Imagem do Produto.221103.jpg,,11,,,,,,,
7c427110,BR012,BRINCOS,Ev,"13,75",4,"R$ 55,00",0,Produtos_Images/7c427110.Imagem do Produto.221212.jpg,,12,,,,,,,
62f3cdf9,BR013,BRINCOS,JL,45,3,"R$ 135,00",1,Produtos_Images/62f3cdf9.Imagem do Produto.221420.jpg,,13,,,,,,,
8844d4c9,BR014,BRINCOS,Ev,"14,75","3,99","R$ 58,85",20,Produtos_Images/8844d4c9.Imagem do Produto.221752.jpg,,14,,,,,,,
a587a6,BR015,BRINCOS,Ev,"14,75",4,"R$ 59,00",2,Produtos_Images/b4a587a6.Imagem do Produto.222147.jpg,,15,,,,,,,
63fb8527,BR016,BRINCOS,Ev,"14,75",4,"R$ 59,00",1,Produtos_Images/63fb8527.Imagem do Produto.222304.jpg,,16,,,,,,,
cd4549e6,BR017,BRINCOS,Ev,"17,25",4,"R$ 69,00",3,Produtos_Images/cd4549e6.Imagem do Produto.222605.jpg,,17,,,,,,,
99ebbc0c,BR018,BRINCOS,Ev,"18,75",4,"R$ 75,00",1,Produtos_Images/99ebbc0c.Imagem do Produto.234227.jpg,,18,,,,,,,
7b209793,BR019,BRINCOS,Ev,"14,75",4,"R$ 59,00",0,Produtos_Images/7b209793.Imagem do Produto.234316.jpg,,19,,,,,,,
d230043e,BR020,BRINCOS,JL,26,3,"R$ 78,00",1,Produtos_Images/d230043e.Imagem do Produto.234437.jpg,,20,,,,,,,
6ec56368,BR021,BRINCOS,Ev,"15,25",4,"R$ 61,00",1,Produtos_Images/6ec56368.Imagem do Produto.234553.jpg,,21,,,,,,,
4439c3b4,BR022,BRINCOS,E,"14,5",4,"R$ 58,00",1,Produtos_Images/4439c3b4.Imagem do Produto.234653.jpg,,22,,,,,,,
13e5a4,BR023,BRINCOS,JL,39,3,"R$ 117,00",2,Produtos_Images/13e5a4e3.Imagem do Produto.234811.jpg,,23,,,,,,,
,,,,,,,,,,,,,,,,,
1dc1f393,BR025,BRINCOS,JN,15,3,"R$ 45,00",1,Produtos_Images/1dc1f393.Imagem do Produto.235029.jpg,,25,,,,,,,
712c6c59,BR026,BRINCOS,Ev,13,4,"R$ 52,00",2,Produtos_Images/712c6c59.Imagem do Produto.235128.jpg,,26,,,,,,,
b501d180,BR027,BRINCOS,JN,19,3,"R$ 57,00",1,Produtos_Images/b501d180.Imagem do Produto.235357.jpg,,27,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
8f1d5f2d,BR031,BRINCOS,EV,"14,75",4,"R$ 59,00",2,Produtos_Images/8f1d5f2d.Imagem do Produto.000813.jpg,,31,,,,,,,
5317ed2f,BR032,BRINCOS,EV,"14,75",4,"R$ 59,00",4,Produtos_Images/5317ed2f.Imagem do Produto.001050.jpg,,32,,,,,,,
1bcbef06,BR033,BRINCOS,Ev,"13,75",4,"R$ 55,00",1,Produtos_Images/1bcbef06.Imagem do Produto.001303.jpg,,33,,,,,,,
7ab8cdbb,BR034,BRINCOS,Ev,"14,75",4,"R$ 59,00",0,Produtos_Images/7ab8cdbb.Imagem do Produto.001645.jpg,,34,,,,,,,
c1d09ff7,BR035,BRINCOS,Ev,"14,75",4,"R$ 59,00",3,Produtos_Images/c1d09ff7.Imagem do Produto.001841.jpg,,35,,,,,,,
c15510d5,BR036,BRINCOS,EV,"14,5",4,"R$ 58,00",2,Produtos_Images/c15510d5.Imagem do Produto.002112.jpg,,36,,,,,,,
4d30d8b5,BR037,BRINCOS,Ev,"16,25",4,"R$ 65,00",1,Produtos_Images/4d30d8b5.Imagem do Produto.002344.jpg,,37,,,,,,,
a21321ab,BR038,BRINCOS,Ev,"14,75",4,"R$ 59,00",2,Produtos_Images/a21321ab.Imagem do Produto.002615.jpg,,38,,,,,,,
396e133b,BR039,BRINCOS,Ev,"16,25",4,"R$ 65,00",2,Produtos_Images/396e133b.Imagem do Produto.002935.jpg,,39,,,,,,,
d93052b2,BR040,BRINCOS,Ev,"14,75",4,"R$ 59,00",1,Produtos_Images/d93052b2.Imagem do Produto.003048.jpg,,40,,,,,,,
18d0e049,BR041,BRINCOS,Ev,"13,75",4,"R$ 55,00",1,Produtos_Images/18d0e049.Imagem do Produto.003123.jpg,,41,,,,,,,
be5483,BR042,BRINCOS,Ev,"13,75",4,"R$ 55,00",1,Produtos_Images/be5483b0.Imagem do Produto.003445.jpg,,42,,,,,,,
d7d1aeeb,BR043,BRINCOS,Ev,"16,25",4,"R$ 65,00",1,Produtos_Images/d7d1aeeb.Imagem do Produto.003544.jpg,,43,,,,,,,
2192b1c7,BR044,BRINCOS,Ev,"14,5",4,"R$ 58,00",2,Produtos_Images/2192b1c7.Imagem do Produto.003855.jpg,,44,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
